split,config_key,protocol,tau,policy_value
dev,global_laplace,conditioned,0.01865284445931415,0.0020990231334228875
dev,global_laplace,conditioned,0.021256875881043136,0.001775555079072994
dev,global_laplace,conditioned,0.028149644124515327,0.00043208110014846706
dev,global_laplace,conditioned,0.03683219611440886,0.0007319185287227451
dev,global_laplace,conditioned,0.04991434615275845,0.0008938269788942367
dev,global_laplace_binary,conditioned,-0.17581489684009954,0.0069243204444179715
dev,global_laplace_binary,conditioned,-0.047310179280883456,0.009162646662852608
dev,global_laplace_binary,conditioned,-0.021288104172946548,0.00885547641489573
dev,global_laplace_binary,conditioned,-0.015168458955916942,0.005493722038582948
dev,global_laplace_binary,conditioned,-0.010347098323117318,0.0049393888457815475
dev,global_laplace_binary,conditioned,-0.004748477644501051,0.004307439801834967
dev,global_laplace_binary,conditioned,-0.0010444433820754003,0.0037672079655817685
dev,global_laplace_binary,conditioned,0.0,0.0037143917106162044
dev,global_laplace_binary,conditioned,0.0029864191070418902,0.00339621763244318
dev,global_laplace_binary,conditioned,0.005659844375576568,0.0038650401146808015
dev,global_laplace_binary,conditioned,0.008332773883518304,0.004051466066635515
dev,global_laplace_binary,conditioned,0.011174967383431673,0.004379752381094571
dev,global_laplace_binary,conditioned,0.013267230185948312,0.004609189110116151
dev,global_laplace_binary,conditioned,0.015871042694729776,0.004571090437775495
dev,global_laplace_binary,conditioned,0.018618603477330364,0.003785357766764291
dev,global_laplace_binary,conditioned,0.021917636055278265,0.0019972194511688615
dev,global_laplace_binary,conditioned,0.02727326066359644,0.0019225746299779526
dev,global_laplace_binary,conditioned,0.033012772890772965,0.0005599299101246562
dev,global_laplace_binary,conditioned,0.04116941769980735,0.0010889590627347415
dev,global_laplace_binary,conditioned,0.06380460893988125,0.0003226833377138574
dev,intersection_eb,blind,-0.04044156837147215,0.006537554219224984
dev,intersection_eb,blind,-0.026220354137936462,0.006198405285240341
dev,intersection_eb,blind,-0.018444605718154573,0.006668053497341359
dev,intersection_eb,blind,-0.011988701366157211,0.006373311051380672
dev,intersection_eb,blind,-0.008255934614209986,0.0063732077242065
dev,intersection_eb,blind,-0.005341809312766272,0.005820317141314659
dev,intersection_eb,blind,-0.0035884289056525337,0.005173210253162443
dev,intersection_eb,blind,-0.0010205923900828663,0.005156680054051749
dev,intersection_eb,blind,0.0,0.004738624099653716
dev,intersection_eb,blind,0.0007165730803824673,0.0049039309488194864
dev,intersection_eb,blind,0.002735006690021799,0.003969772949487812
dev,intersection_eb,blind,0.00493863827889795,0.002730120966053308
dev,intersection_eb,blind,0.007679546355332342,0.0008426796306263317
dev,intersection_eb,blind,0.009485558103337224,0.0005085474831930896
dev,intersection_eb,blind,0.01156132269185985,0.0003451492905990457
dev,intersection_eb,blind,0.01493033110717118,0.00037621732415824103
dev,intersection_eb,blind,0.018878743077418672,-9.180586726687918e-05
dev,intersection_eb,blind,0.024242884809377977,-0.00037049448415403454
dev,intersection_eb,blind,0.03439733359191902,-0.0006060500316859039
dev,intersection_eb,blind,0.05464792180884121,-0.00026275203519480355
dev,intersection_eb,conditioned,-0.032674607828953296,0.006331811691152638
dev,intersection_eb,conditioned,-0.01755833071599201,0.006311677279517195
dev,intersection_eb,conditioned,-0.009864647598021187,0.00612116831597116
dev,intersection_eb,conditioned,-0.006171365596498624,0.0063625298977645585
dev,intersection_eb,conditioned,-0.0033016941414089358,0.005469937870121301
dev,intersection_eb,conditioned,-0.0011220540799178713,0.00531560584295506
dev,intersection_eb,conditioned,0.0,0.004555274606872128
dev,intersection_eb,conditioned,0.0016683198547841577,0.004185105846219676
dev,intersection_eb,conditioned,0.0034060674608564433,0.003976897012477385
dev,intersection_eb,conditioned,0.005482757262445393,0.0037783298372848655
dev,intersection_eb,conditioned,0.00751612979464742,0.0017494326661746703
dev,intersection_eb,conditioned,0.009201411113859128,0.0017297966726895037
dev,intersection_eb,conditioned,0.0111940239119023,0.0025445169602815636
dev,intersection_eb,conditioned,0.013159313844343358,0.0014613868674514436
dev,intersection_eb,conditioned,0.017068276678296794,0.0008742447743968904
dev,intersection_eb,conditioned,0.02025769412268407,0.0008193340421096658
dev,intersection_eb,conditioned,0.025175228303290737,-0.001621819121710559
dev,intersection_eb,conditioned,0.030773865266156074,-0.0008431737045509315
dev,intersection_eb,conditioned,0.03902180015668939,-0.00014939936911424498
dev,intersection_eb,conditioned,0.05410482572797855,-0.0001402714035727761
dev,intersection_laplace,blind,-0.4052355662187928,-0.0189733868669193
dev,intersection_laplace,blind,-0.2171664046894135,-3.1548887958347235e-05
dev,intersection_laplace,blind,-0.08983415029184316,0.0053678783690294125
dev,intersection_laplace,blind,-0.0348428083140028,0.0054107897894509534
dev,intersection_laplace,blind,-0.020202742230063422,0.0034971695194797457
dev,intersection_laplace,blind,-0.010027795548361227,0.0048830074062541735
dev,intersection_laplace,blind,-0.005868604905027687,0.004498178985985843
dev,intersection_laplace,blind,-0.0025811320807437744,0.004187182596297847
dev,intersection_laplace,blind,0.0,0.0042872492188943965
dev,intersection_laplace,blind,0.00044580818780106936,0.003894250571354056
dev,intersection_laplace,blind,0.0029958614465863125,0.00367442593212038
dev,intersection_laplace,blind,0.005293834395451405,0.0032954157846848417
dev,intersection_laplace,blind,0.007262379076429815,0.00366564611189044
dev,intersection_laplace,blind,0.011178974337835683,0.003513471529962127
dev,intersection_laplace,blind,0.013788144584141376,0.004232965456467811
