fraction,n_keep,seed,lift,routing,mean_delta_top1,mean_delta_best5,pct_top1_changed,coverage_global,coverage_class,coverage_team,coverage_intersection
0.01,8,1009,laplace_eb,M4_intersection,7.38904207104052e-05,0.00013460559904762196,0.025078369905956112,0.679435736677116,0.2501253918495298,0.1855485893416928,0.07968652037617555
0.01,8,1009,laplace_eb,M5_backoff2,-0.04071405702810676,-0.03587040242076294,0.27899686520376177,0.679435736677116,0.2501253918495298,0.1855485893416928,0.07968652037617555
0.02,17,1000,laplace,M1_global,-0.04978785970975239,-0.053888377257649056,0.567398119122257,0.8878369905956112,0.5465830721003135,0.4023824451410658,0.27815047021943573
0.02,17,1000,laplace,M2_team,0.007823456324006323,0.005467155323506896,0.1786833855799373,0.8878369905956112,0.5465830721003135,0.4023824451410658,0.27815047021943573
0.02,17,1000,laplace,M4_intersection,0.01319014446862439,0.00773742131678662,0.11285266457680251,0.8878369905956112,0.5465830721003135,0.4023824451410658,0.27815047021943573
0.02,17,1000,laplace,M5_backoff2,-0.040607378715912,-0.053987876374893426,0.45768025078369906,0.8878369905956112,0.5465830721003135,0.4023824451410658,0.27815047021943573
0.02,17,1000,laplace_eb,M1_global,-0.05575043492042533,-0.06999560688450045,0.5893416927899686,0.8878369905956112,0.5465830721003135,0.4023824451410658,0.27815047021943573
0.02,17,1000,laplace_eb,M2_team,0.008588481519289525,0.0016141976215248944,0.23510971786833856,0.8878369905956112,0.5465830721003135,0.4023824451410658,0.27815047021943573
0.02,17,1000,laplace_eb,M4_intersection,0.024144107563462004,0.008593488636435387,0.16927899686520376,0.8878369905956112,0.5465830721003135,0.4023824451410658,0.27815047021943573
0.02,17,1000,laplace_eb,M5_backoff2,-0.05629190966066522,-0.06382530385797675,0.48589341692789967,0.8878369905956112,0.5465830721003135,0.4023824451410658,0.27815047021943573
0.02,17,1001,laplace,M1_global,-0.06062425287633107,-0.03593739351041638,0.5830721003134797,0.9158620689655171,0.618871473354232,0.44407523510971797,0.3294984326018809
0.02,17,1001,laplace,M2_team,0.004005516747882748,0.0015754561439203245,0.23197492163009403,0.9158620689655171,0.618871473354232,0.44407523510971797,0.3294984326018809
0.02,17,1001,laplace,M4_intersection,0.005295867363113595,0.003897600973661417,0.1786833855799373,0.9158620689655171,0.618871473354232,0.44407523510971797,0.3294984326018809
0.02,17,1001,laplace,M5_backoff2,-0.04315639107391752,-0.03426737378009808,0.4482758620689655,0.9158620689655171,0.618871473354232,0.44407523510971797,0.3294984326018809
0.02,17,1001,laplace_eb,M1_global,-0.05415798066224798,-0.04496196454221552,0.6050156739811913,0.9158620689655171,0.618871473354232,0.44407523510971797,0.3294984326018809
0.02,17,1001,laplace_eb,M2_team,0.0014998352966712186,-0.002207989789849165,0.29780564263322884,0.9158620689655171,0.618871473354232,0.44407523510971797,0.3294984326018809
0.02,17,1001,laplace_eb,M4_intersection,0.011953228506548652,0.003987706940749596,0.219435736677116,0.9158620689655171,0.618871473354232,0.44407523510971797,0.3294984326018809
0.02,17,1001,laplace_eb,M5_backoff2,-0.05693965638786274,-0.05306180307297124,0.4670846394984326,0.9158620689655171,0.618871473354232,0.44407523510971797,0.3294984326018809
0.02,17,1002,laplace,M1_global,-0.07716984907895047,-0.06463621024240894,0.542319749216301,0.8878056426332288,0.5934482758620689,0.5081191222570532,0.31880877742946706
0.02,17,1002,laplace,M2_team,0.002315770145680837,-0.0033251489965145866,0.21316614420062696,0.8878056426332288,0.5934482758620689,0.5081191222570532,0.31880877742946706
0.02,17,1002,laplace,M4_intersection,0.004745621012296049,0.002167315038394031,0.12225705329153605,0.8878056426332288,0.5934482758620689,0.5081191222570532,0.31880877742946706
0.02,17,1002,laplace,M5_backoff2,-0.052261005374705155,-0.039485828209446516,0.4608150470219436,0.8878056426332288,0.5934482758620689,0.5081191222570532,0.31880877742946706
