seq_id,title,team,intent_class,request_type,is_form_reply,reply_len,desc_len,top1_faiss,top2_faiss,top5_mean,top5_min,top5_max,retrieval_margin,retrieval_spread,top1_team,top1_class,top5_teams,top5_classes
R-1281,Attendance Log - Community meetings,(GI-UX) Account Management,other,Service request,1,1290,576,0.5229096412658691,0.4434276223182678,0.4484763741493225,0.41558676958084106,0.5229096412658691,0.07948201894760132,0.10732287168502808,(BF) Employee Platform (SAP SF),other,(BF) Employee Platform (SAP SF)|(LF) IT Office Access Italy|(GI-IaaS) Development Platform|(LF) IT Office Access Italy|(LF) IT Office Access Italy,other|offboarding|software_license|offboarding|offboarding
R-1283,set folder to download,(GI-UX) Group,software_support,Service request,1,422,679,0.42133772373199463,0.40226656198501587,0.38513296842575073,0.3597857356071472,0.42133772373199463,0.01907116174697876,0.06155198812484741,(GI-UX) Group,software_support,(GI-UX) Group|(GI-CyberSec) Security Operation Center|(GI-UX) Group|(GI-CF) Robot Process Automation|(GI-UX) Group,software_support|email_support|vpn_access|admin_rights|software_support
R-1285,Adobe Creative Cloud Acrobat PRO DC,(GI-IaaS) Admin - License & Asset Management,software_license,Service request,1,2117,93,0.983076810836792,0.946051836013794,0.8372880816459656,0.7474706172943115,0.983076810836792,0.03702497482299805,0.23560619354248047,(GI-UX) Group,software_license,(GI-UX) Group|(GI-IaaS) Admin - License & Asset Management|(GI-IaaS) Admin - License & Asset Management|(GI-IaaS) Admin - License & Asset Management|(GI-IaaS) Admin - License & Asset Management,software_license|software_license|software_license|software_license|software_license
R-1286,How to change members in a distribution list that I own,(GI-UX) Group,email_support,Service request,1,621,303,0.709074854850769,0.629895806312561,0.5684813857078552,0.4852622449398041,0.709074854850769,0.07917904853820801,0.22381260991096497,(GI-UX) Unified Communication,email_support,(GI-UX) Unified Communication|(GI-UX) Unified Communication|(GI-UX) Account Management|(GI-UX) Account Management|(GI-UX) File & Print,email_support|other|email_support|other|software_support
R-1287,request for admin rights,(GI-CF) Robot Process Automation,admin_rights,Service request,1,4774,107,0.8562878370285034,0.8483615517616272,0.8184235692024231,0.7638108134269714,0.8562878370285034,0.00792628526687622,0.09247702360153198,(GI-CF) Robot Process Automation,admin_rights,(GI-CF) Robot Process Automation|(GI-CF) Robot Process Automation|(GI-CF) Robot Process Automation|(GI-CF) Robot Process Automation|(GI-CF) Robot Process Automation,admin_rights|admin_rights|admin_rights|admin_rights|admin_rights
R-1289,Reset wifi driver,(GI-UX) Group,hardware_support,Incident,1,233,86,0.5228422284126282,0.45474788546562195,0.4430917203426361,0.389942467212677,0.5228422284126282,0.06809434294700623,0.13289976119995117,(GI-UX) File & Print,hardware_support,(GI-UX) File & Print|(GI-UX) Group|(GI-UX) Group|(GI-UX) File & Print|(GI-UX) Windows,hardware_support|other|software_license|software_support|software_support
R-129,Administrator rights,(GI-CF) Robot Process Automation,admin_rights,Service request,1,4494,308,0.9995213150978088,0.5817513465881348,0.649510383605957,0.5511021614074707,0.9995213150978088,0.4177699685096741,0.44841915369033813,(GI-CF) Robot Process Automation,admin_rights,(GI-CF) Robot Process Automation|(GI-CF) Robot Process Automation|(BF) Information Security Office|(GI-UX) Group|(GI-CF) Robot Process Automation,admin_rights|admin_rights|admin_rights|admin_rights|admin_rights
R-1293,I need help resizing a docker volume in Docker Desktop,(GI-UX) Group,software_license,Service request,1,2186,229,0.5851267576217651,0.5526001453399658,0.5164997577667236,0.4508160650730133,0.5851267576217651,0.032526612281799316,0.13431069254875183,(GI-CF) Robot Process Automation,admin_rights,(GI-CF) Robot Process Automation|(BF) Information Security Office|(GI-CF) Robot Process Automation|(GI-UX) Group|(GI-IaaS) Admin - Local IT purchase,admin_rights|admin_rights|admin_rights|hardware_support|software_license
R-1294,New endpoint for Fictorum VPN,"(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",vpn_access,Service request,1,1068,127,0.7222284078598022,0.6810351610183716,0.6325445175170898,0.5808423161506653,0.7222284078598022,0.041193246841430664,0.14138609170913696,"(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",vpn_access,"(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)|(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)|(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)|(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)|(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",vpn_access|vpn_access|vpn_access|vpn_access|vpn_access
R-1295,I need access to nexus.ytr.com,(GI-IaaS) Development Platform,other,Service request,1,677,131,0.5267391204833984,0.5029128789901733,0.4978965222835541,0.48344510793685913,0.5267391204833984,0.023826241493225098,0.04329401254653931,(GI-UX) Network Access,vpn_access,(GI-UX) Network Access|(GI-UX) Group|(GI-UX) Network Access|(GI-UX) Network Access|(GI-UX) Group,vpn_access|vpn_access|vpn_access|vpn_access|hardware_support
