feature,direction,threshold,dev_policy,pct_open
evidence_team_top5,below,140.0,0.0026363444283033295,0.5182059319990354
top5_min_score,below,0.49816209077835083,0.002561116196288814,0.2006269592476489
intervention_scale,below,0.6942405597936983,0.002278398177136218,0.29997588618278276
evidence_intersection_top5,below,17.0,0.0022424098085374006,0.20472630817458404
evidence_global_top5,below,309.0,0.0020743482819171534,0.2006269592476489
coverage_team,below,0.99,0.0020614414580735867,0.21702435495538944
coverage_intersection,below,0.94,0.0017265787692652974,0.20183265010851217
n_top_changed,below,3.0,0.001594829798635874,0.5160356884494816
n_top_changed,below,3.0,0.001594829798635874,0.5160356884494816
max_lift_class,below,0.10620674666666666,0.0015858529557341231,0.29997588618278276
intervention_scale,below,0.2638042168211999,0.001545324312553999,0.2001446829033036
evidence_team_top5,below,40.0,0.0012881167166515347,0.20086809741982156
max_lift_class,below,0.14857142857142858,0.0010147446055483581,0.4060766819387509
max_lift_class,below,0.030588235294117628,0.0006451894083826807,0.20038582107547626
n_top_changed,below,2.0,0.0005912104711809703,0.35061490233904025
n_top_changed,below,1.0,0.0005240517946677464,0.24596093561610802
max_lift_intersection,below,0.05999999999999997,-0.0002567538488966199,0.20038582107547626
evidence_team_top5,below,179.0,-0.0003819369284509319,0.6013986013986014
evidence_intersection_top5,below,142.0,-0.000766338231205969,0.7002652519893899
best_promotion_margin,below,-0.16000000000000003,-0.0008229895822536753,0.2006269592476489
max_lift_team,below,0.022499999999999964,-0.001021587626062188,0.20038582107547626
n_promotable,below,2.0,-0.0016702453210349828,0.7296841089944538
evidence_class_top5,below,417.0,-0.0020181370199747134,0.8003375934410417
best_promotion_margin,below,0.009863363332926476,-0.0021209959070999304,0.5999517723655655
max_lift_intersection,below,0.09614370062370062,-0.0021492958981530305,0.29997588618278276
lift_frac_negative,below,0.37,-0.0021559011118366597,0.20255606462503015
evidence_global_top5,below,942.0,-0.002256958494566997,0.8025078369905956
n_promotable,below,1.0,-0.0024949253442662868,0.6631299734748011
n_promotable,below,1.0,-0.0024949253442662868,0.6631299734748011
n_promotable,below,5.0,-0.002532703654217611,0.8027489751627682
lift_mean,below,-0.1790650628336115,-0.0027036142383019606,0.2001446829033036
lift_std,below,0.027397752639605883,-0.002793089588392146,0.2001446829033036
best_promotion_margin,below,0.025523809523809504,-0.003284312605009845,0.7002652519893899
n_promotable,below,0.0,-0.003412246310641917,0.49939715456956835
n_promotable,below,0.0,-0.003412246310641917,0.49939715456956835
n_promotable,below,0.0,-0.003412246310641917,0.49939715456956835
best_promotion_margin,below,0.00012935655056178774,-0.0034381526423299747,0.5001205690860864
lift_mean,below,-0.12218698592750706,-0.004077049615887927,0.40004822763443454
best_promotion_margin,below,0.060303445397098775,-0.004099911622737211,0.7998553170966964
best_promotion_margin,below,-0.0311904997100486,-0.0043922861566852885,0.40004822763443454
best_promotion_margin,below,-0.09518293246554553,-0.004517640906815245,0.29997588618278276
lift_frac_positive,below,0.43,-0.004809694100114734,0.7019532191945985
lift_frac_positive,below,0.05,-0.0048577746720896995,0.4159633469978298
lift_mean,below,-0.07741775273891341,-0.004949082896447567,0.5001205690860864
lift_mean,below,-0.15254366736861866,-0.005259161516359291,0.29997588618278276
lift_frac_negative,below,0.8,-0.0054417341113924145,0.5080781287677839
lift_frac_positive,below,0.14,-0.005615036337238235,0.5051844707017121
lift_std,below,0.042787851838793134,-0.00569027983512768,0.29997588618278276
lift_frac_positive,below,0.26,-0.00649395434772908,0.6074270557029178
lift_frac_positive,below,0.01,-0.0065501125563993375,0.32505425608873884
lift_std,below,0.055675397508926534,-0.006774793529700221,0.40004822763443454
lift_max,below,0.020618556701030945,-0.006812530352116666,0.3091391367253436
lift_frac_negative,below,0.97,-0.006904845159435261,0.7026766337111164
lift_mean,below,-0.02699674905401564,-0.0069887222309399435,0.5999517723655655
lift_frac_positive,below,0.0,-0.007141530377220354,0.2736918254159634
lift_frac_negative,below,0.68,-0.007625575080129478,0.40487099107788765
